MSA_MD_Code,MSA_MD_Name
37660,"Parsons, KS (MSA)"
37740,"Payson, AZ (MSA)"
37770,"Pearsall, TX (MSA)"
37780,"Pecos, TX (MSA)"
37800,"Pella, IA (MSA)"
37860,"Pensacola-Ferry Pass-Brent, FL (MSA)"
37900,"Peoria, IL (MSA)"
37940,"Peru, IN (MSA)"
37964,"Philadelphia, PA (MD)"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)"
38060,"Phoenix-Mesa-Chandler, AZ (MSA)"
38100,"Picayune, MS (MSA)"
38180,"Pierre, SD (MSA)"
38220,"Pine Bluff, AR (MSA)"
38240,"Pinehurst-Southern Pines, NC (MSA)"
38260,"Pittsburg, KS (MSA)"
38300,"Pittsburgh, PA (MSA)"
38340,"Pittsfield, MA (MSA)"
38380,"Plainview, TX (MSA)"
38420,"Platteville, WI (MSA)"
38460,"Plattsburgh, NY (MSA)"
38500,"Plymouth, IN (MSA)"
38540,"Pocatello, ID (MSA)"
38580,"Point Pleasant, WV-OH (MSA)"
38620,"Ponca City, OK (MSA)"
38660,"Ponce, PR (MSA)"
38700,"Pontiac, IL (MSA)"
38740,"Poplar Bluff, MO (MSA)"
38780,"Portales, NM (MSA)"
38820,"Port Angeles, WA (MSA)"
38860,"Portland-South Portland, ME (MSA)"
38900,"Portland-Vancouver-Hillsboro, OR-WA (MSA)"
38920,"Port Lavaca, TX (MSA)"
38940,"Port St. Lucie, FL (MSA)"
39020,"Portsmouth, OH (MSA)"
39060,"Pottsville, PA (MSA)"
39100,"Poughkeepsie-Newburgh-Middletown, NY (MSA)"
39150,"Prescott Valley-Prescott, AZ (MSA)"
39220,"Price, UT (MSA)"
39260,"Prineville, OR (MSA)"
39300,"Providence-Warwick, RI-MA (MSA)"
39340,"Provo-Orem, UT (MSA)"
39380,"Pueblo, CO (MSA)"
39420,"Pullman, WA (MSA)"
39460,"Punta Gorda, FL (MSA)"
39500,"Quincy, IL-MO (MSA)"
39540,"Racine, WI (MSA)"
39580,"Raleigh-Cary, NC (MSA)"
39660,"Rapid City, SD (MSA)"
39700,"Raymondville, TX (MSA)"
39740,"Reading, PA (MSA)"
39780,"Red Bluff, CA (MSA)"
39820,"Redding, CA (MSA)"
39860,"Red Wing, MN (MSA)"
39900,"Reno, NV (MSA)"
39940,"Rexburg, ID (MSA)"
39980,"Richmond, IN (MSA)"
40060,"Richmond, VA (MSA)"
40080,"Richmond-Berea, KY (MSA)"
40100,"Rio Grande City-Roma, TX (MSA)"
40140,"Riverside-San Bernardino-Ontario, CA (MSA)"
40180,"Riverton, WY (MSA)"
40220,"Roanoke, VA (MSA)"
40260,"Roanoke Rapids, NC (MSA)"
40300,"Rochelle, IL (MSA)"
40340,"Rochester, MN (MSA)"
40380,"Rochester, NY (MSA)"
40420,"Rockford, IL (MSA)"
40460,"Rockingham, NC (MSA)"
40484,"Rockingham County-Strafford County, NH (MD)"
40530,"Rockport, TX (MSA)"
40540,"Rock Springs, WY (MSA)"
40580,"Rocky Mount, NC (MSA)"
40620,"Rolla, MO (MSA)"
40660,"Rome, GA (MSA)"
40700,"Roseburg, OR (MSA)"
40740,"Roswell, NM (MSA)"
40760,"Ruidoso, NM (MSA)"
40780,"Russellville, AR (MSA)"
40820,"Ruston, LA (MSA)"
40860,"Rutland, VT (MSA)"
40900,"Sacramento-Roseville-Folsom, CA (MSA)"
40940,"Safford, AZ (MSA)"
40980,"Saginaw, MI (MSA)"
41060,"St. Cloud, MN (MSA)"
41100,"St. George, UT (MSA)"
41140,"St. Joseph, MO-KS (MSA)"
41180,"St. Louis, MO-IL (MSA)"
41220,"St. Marys, GA (MSA)"
41260,"St. Marys, PA (MSA)"
41400,"Salem, OH (MSA)"
41420,"Salem, OR (MSA)"
41460,"Salina, KS (MSA)"
41500,"Salinas, CA (MSA)"
41540,"Salisbury, MD-DE (MSA)"
41620,"Salt Lake City, UT (MSA)"
41660,"San Angelo, TX (MSA)"
41700,"San Antonio-New Braunfels, TX (MSA)"
41740,"San Diego-Chula Vista-Carlsbad, CA (MSA)"
41760,"Sandpoint, ID (MSA)"
41780,"Sandusky, OH (MSA)"
41820,"Sanford, NC (MSA)"
41860,"San Francisco-Oakland-Berkeley, CA (MSA)"
41884,"San Francisco-San Mateo-Redwood City, CA (MD)"
41900,"San Germán, PR (MSA)"
41940,"San Jose-Sunnyvale-Santa Clara, CA (MSA)"
41980,"San Juan-Bayamón-Caguas, PR (MSA)"
42020,"San Luis Obispo-Paso Robles, CA (MSA)"
42034,"San Rafael, CA (MD)"
42100,"Santa Cruz-Watsonville, CA (MSA)"
42140,"Santa Fe, NM (MSA)"
42180,"Santa Isabel, PR (MSA)"
42200,"Santa Maria-Santa Barbara, CA (MSA)"
42220,"Santa Rosa-Petaluma, CA (MSA)"
42300,"Sault Ste. Marie, MI (MSA)"
42340,"Savannah, GA (MSA)"
42380,"Sayre, PA (MSA)"
42420,"Scottsbluff, NE (MSA)"
42460,"Scottsboro, AL (MSA)"
42500,"Scottsburg, IN (MSA)"
42540,"Scranton--Wilkes-Barre, PA (MSA)"
42620,"Searcy, AR (MSA)"
42644,"Seattle-Bellevue-Kent, WA (MD)"
42660,"Seattle-Tacoma-Bellevue, WA (MSA)"
42680,"Sebastian-Vero Beach, FL (MSA)"
42700,"Sebring-Avon Park, FL (MSA)"
42740,"Sedalia, MO (MSA)"
42780,"Selinsgrove, PA (MSA)"
42820,"Selma, AL (MSA)"
42860,"Seneca, SC (MSA)"
42900,"Seneca Falls, NY (MSA)"
42940,"Sevierville, TN (MSA)"
42980,"Seymour, IN (MSA)"
43020,"Shawano, WI (MSA)"
43060,"Shawnee, OK (MSA)"
43100,"Sheboygan, WI (MSA)"
43140,"Shelby, NC (MSA)"
43180,"Shelbyville, TN (MSA)"
43220,"Shelton, WA (MSA)"
43260,"Sheridan, WY (MSA)"
43300,"Sherman-Denison, TX (MSA)"
43320,"Show Low, AZ (MSA)"
43340,"Shreveport-Bossier City, LA (MSA)"
43380,"Sidney, OH (MSA)"
43420,"Sierra Vista-Douglas, AZ (MSA)"
43460,"Sikeston, MO (MSA)"
43500,"Silver City, NM (MSA)"
43580,"Sioux City, IA-NE-SD (MSA)"
43620,"Sioux Falls, SD (MSA)"
43660,"Snyder, TX (MSA)"
43700,"Somerset, KY (MSA)"
43740,"Somerset, PA (MSA)"
43760,"Sonora, CA (MSA)"
43780,"South Bend-Mishawaka, IN-MI (MSA)"
43900,"Spartanburg, SC (MSA)"
43940,"Spearfish, SD (MSA)"
43980,"Spencer, IA (MSA)"
44020,"Spirit Lake, IA (MSA)"
44060,"Spokane-Spokane Valley, WA (MSA)"
44100,"Springfield, IL (MSA)"
44140,"Springfield, MA (MSA)"
44180,"Springfield, MO (MSA)"
44220,"Springfield, OH (MSA)"
44260,"Starkville, MS (MSA)"
44300,"State College, PA (MSA)"
44340,"Statesboro, GA (MSA)"
44420,"Staunton, VA (MSA)"
44460,"Steamboat Springs, CO (MSA)"
44500,"Stephenville, TX (MSA)"
44540,"Sterling, CO (MSA)"
44580,"Sterling, IL (MSA)"
44620,"Stevens Point, WI (MSA)"
44660,"Stillwater, OK (MSA)"
44700,"Stockton, CA (MSA)"
44740,"Storm Lake, IA (MSA)"
44780,"Sturgis, MI (MSA)"
44860,"Sulphur Springs, TX (MSA)"
44900,"Summerville, GA (MSA)"
44940,"Sumter, SC (MSA)"
44980,"Sunbury, PA (MSA)"
45000,"Susanville, CA (MSA)"
45020,"Sweetwater, TX (MSA)"
45060,"Syracuse, NY (MSA)"
45104,"Tacoma-Lakewood, WA (MD)"
45140,"Tahlequah, OK (MSA)"
45180,"Talladega-Sylacauga, AL (MSA)"
45220,"Tallahassee, FL (MSA)"
45300,"Tampa-St. Petersburg-Clearwater, FL (MSA)"
45340,"Taos, NM (MSA)"
45380,"Taylorville, IL (MSA)"
45460,"Terre Haute, IN (MSA)"
45500,"Texarkana, TX-AR (MSA)"
45520,"The Dalles, OR (MSA)"
45540,"The Villages, FL (MSA)"
45580,"Thomaston, GA (MSA)"
45620,"Thomasville, GA (MSA)"
45660,"Tiffin, OH (MSA)"
45700,"Tifton, GA (MSA)"
45740,"Toccoa, GA (MSA)"
45780,"Toledo, OH (MSA)"
45820,"Topeka, KS (MSA)"
45860,"Torrington, CT (MSA)"
45900,"Traverse City, MI (MSA)"
45940,"Trenton-Princeton, NJ (MSA)"
45980,"Troy, AL (MSA)"
46020,"Truckee-Grass Valley, CA (MSA)"
46060,"Tucson, AZ (MSA)"
46100,"Tullahoma-Manchester, TN (MSA)"
46140,"Tulsa, OK (MSA)"
46180,"Tupelo, MS (MSA)"
46220,"Tuscaloosa, AL (MSA)"
46300,"Twin Falls, ID (MSA)"
46340,"Tyler, TX (MSA)"
46380,"Ukiah, CA (MSA)"
46420,"Union, SC (MSA)"
46460,"Union City, TN (MSA)"
46500,"Urbana, OH (MSA)"
46520,"Urban Honolulu, HI (MSA)"
46540,"Utica-Rome, NY (MSA)"
46620,"Uvalde, TX (MSA)"
46660,"Valdosta, GA (MSA)"
46700,"Vallejo, CA (MSA)"
46780,"Van Wert, OH (MSA)"
46820,"Vermillion, SD (MSA)"
46860,"Vernal, UT (MSA)"
46900,"Vernon, TX (MSA)"
46980,"Vicksburg, MS (MSA)"
47020,"Victoria, TX (MSA)"
47080,"Vidalia, GA (MSA)"
47180,"Vincennes, IN (MSA)"
47220,"Vineland-Bridgeton, NJ (MSA)"
47240,"Vineyard Haven, MA (MSA)"
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (MSA)"
47300,"Visalia, CA (MSA)"
47340,"Wabash, IN (MSA)"
47380,"Waco, TX (MSA)"
47420,"Wahpeton, ND-MN (MSA)"
47460,"Walla Walla, WA (MSA)"
47540,"Wapakoneta, OH (MSA)"
47580,"Warner Robins, GA (MSA)"
47620,"Warren, PA (MSA)"
47660,"Warrensburg, MO (MSA)"
47664,"Warren-Troy-Farmington Hills, MI (MD)"
47700,"Warsaw, IN (MSA)"
47780,"Washington, IN (MSA)"
47820,"Washington, NC (MSA)"
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV (MD)"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (MSA)"
47920,"Washington Court House, OH (MSA)"
47940,"Waterloo-Cedar Falls, IA (MSA)"
47980,"Watertown, SD (MSA)"
48020,"Watertown-Fort Atkinson, WI (MSA)"
48060,"Watertown-Fort Drum, NY (MSA)"
48100,"Wauchula, FL (MSA)"
48140,"Wausau-Weston, WI (MSA)"
48180,"Waycross, GA (MSA)"
48220,"Weatherford, OK (MSA)"
48260,"Weirton-Steubenville, WV-OH (MSA)"
48300,"Wenatchee, WA (MSA)"
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL (MD)"
48460,"West Plains, MO (MSA)"
48500,"West Point, MS (MSA)"
48540,"Wheeling, WV-OH (MSA)"
48580,"Whitewater, WI (MSA)"
48620,"Wichita, KS (MSA)"
48660,"Wichita Falls, TX (MSA)"
48700,"Williamsport, PA (MSA)"
48780,"Williston, ND (MSA)"
48820,"Willmar, MN (MSA)"
48864,"Wilmington, DE-MD-NJ (MD)"
48900,"Wilmington, NC (MSA)"
48940,"Wilmington, OH (MSA)"
48980,"Wilson, NC (MSA)"
49020,"Winchester, VA-WV (MSA)"
49060,"Winfield, KS (MSA)"
49080,"Winnemucca, NV (MSA)"
49100,"Winona, MN (MSA)"
49180,"Winston-Salem, NC (MSA)"
49220,"Wisconsin Rapids-Marshfield, WI (MSA)"
49260,"Woodward, OK (MSA)"
49300,"Wooster, OH (MSA)"
49340,"Worcester, MA-CT (MSA)"
49380,"Worthington, MN (MSA)"
49420,"Yakima, WA (MSA)"
49460,"Yankton, SD (MSA)"
49500,"Yauco, PR (MSA)"
49620,"York-Hanover, PA (MSA)"
49660,"Youngstown-Warren-Boardman, OH-PA (MSA)"
49700,"Yuba City, CA (MSA)"
49740,"Yuma, AZ (MSA)"
49780,"Zanesville, OH (MSA)"
49820,"Zapata, TX (MSA)"
