MSA_MD_Code,MSA_MD_Name
16500,"Centralia, WA (MSA)"
16540,"Chambersburg-Waynesboro, PA (MSA)"
16580,"Champaign-Urbana, IL (MSA)"
16620,"Charleston, WV (MSA)"
16660,"Charleston-Mattoon, IL (MSA)"
16700,"Charleston-North Charleston, SC (MSA)"
16740,"Charlotte-Concord-Gastonia, NC-SC (MSA)"
16820,"Charlottesville, VA (MSA)"
16860,"Chattanooga, TN-GA (MSA)"
16940,"Cheyenne, WY (MSA)"
16980,"Chicago-Naperville-Elgin, IL-IN-WI (MSA)"
16984,"Chicago-Naperville-Evanston, IL (MD)"
17020,"Chico, CA (MSA)"
17060,"Chillicothe, OH (MSA)"
17140,"Cincinnati, OH-KY-IN (MSA)"
17220,"Clarksburg, WV (MSA)"
17260,"Clarksdale, MS (MSA)"
17300,"Clarksville, TN-KY (MSA)"
17340,"Clearlake, CA (MSA)"
17380,"Cleveland, MS (MSA)"
17420,"Cleveland, TN (MSA)"
17460,"Cleveland-Elyria, OH (MSA)"
17500,"Clewiston, FL (MSA)"
17540,"Clinton, IA (MSA)"
17580,"Clovis, NM (MSA)"
17620,"Coamo, PR (MSA)"
17640,"Coco, PR (MSA)"
17660,"Coeur d'Alene, ID (MSA)"
17700,"Coffeyville, KS (MSA)"
17740,"Coldwater, MI (MSA)"
17780,"College Station-Bryan, TX (MSA)"
17820,"Colorado Springs, CO (MSA)"
17860,"Columbia, MO (MSA)"
17900,"Columbia, SC (MSA)"
17980,"Columbus, GA-AL (MSA)"
18020,"Columbus, IN (MSA)"
18060,"Columbus, MS (MSA)"
18100,"Columbus, NE (MSA)"
18140,"Columbus, OH (MSA)"
18180,"Concord, NH (MSA)"
18220,"Connersville, IN (MSA)"
18260,"Cookeville, TN (MSA)"
18300,"Coos Bay, OR (MSA)"
18380,"Cordele, GA (MSA)"
18420,"Corinth, MS (MSA)"
18460,"Cornelia, GA (MSA)"
18500,"Corning, NY (MSA)"
18580,"Corpus Christi, TX (MSA)"
18620,"Corsicana, TX (MSA)"
18660,"Cortland, NY (MSA)"
18700,"Corvallis, OR (MSA)"
18740,"Coshocton, OH (MSA)"
18780,"Craig, CO (MSA)"
18820,"Crawfordsville, IN (MSA)"
18860,"Crescent City, CA (MSA)"
18880,"Crestview-Fort Walton Beach-Destin, FL (MSA)"
18900,"Crossville, TN (MSA)"
18980,"Cullman, AL (MSA)"
19000,"Cullowhee, NC (MSA)"
19060,"Cumberland, MD-WV (MSA)"
19100,"Dallas-Fort Worth-Arlington, TX (MSA)"
19124,"Dallas-Plano-Irving, TX (MD)"
19140,"Dalton, GA (MSA)"
19180,"Danville, IL (MSA)"
19220,"Danville, KY (MSA)"
19260,"Danville, VA (MSA)"
19300,"Daphne-Fairhope-Foley, AL (MSA)"
19340,"Davenport-Moline-Rock Island, IA-IL (MSA)"
19420,"Dayton, TN (MSA)"
19430,"Dayton-Kettering, OH (MSA)"
19460,"Decatur, AL (MSA)"
19500,"Decatur, IL (MSA)"
19540,"Decatur, IN (MSA)"
19580,"Defiance, OH (MSA)"
19620,"Del Rio, TX (MSA)"
19660,"Deltona-Daytona Beach-Ormond Beach, FL (MSA)"
19700,"Deming, NM (MSA)"
19740,"Denver-Aurora-Lakewood, CO (MSA)"
19760,"DeRidder, LA (MSA)"
19780,"Des Moines-West Des Moines, IA (MSA)"
19804,"Detroit-Dearborn-Livonia, MI (MD)"
19820,"Detroit-Warren-Dearborn, MI (MSA)"
19860,"Dickinson, ND (MSA)"
19940,"Dixon, IL (MSA)"
19980,"Dodge City, KS (MSA)"
20020,"Dothan, AL (MSA)"
20060,"Douglas, GA (MSA)"
20100,"Dover, DE (MSA)"
20140,"Dublin, GA (MSA)"
20180,"DuBois, PA (MSA)"
20220,"Dubuque, IA (MSA)"
20260,"Duluth, MN-WI (MSA)"
20300,"Dumas, TX (MSA)"
20340,"Duncan, OK (MSA)"
20420,"Durango, CO (MSA)"
20460,"Durant, OK (MSA)"
20500,"Durham-Chapel Hill, NC (MSA)"
20540,"Dyersburg, TN (MSA)"
20580,"Eagle Pass, TX (MSA)"
20660,"Easton, MD (MSA)"
20700,"East Stroudsburg, PA (MSA)"
20740,"Eau Claire, WI (MSA)"
20780,"Edwards, CO (MSA)"
